FECHA,KITENI,PS#1,PS#2,PS#3,PS#4,FECHA;KITENI;PS#1;PS#2;PS#3;PS#4
2006-11-08,16.4,5.5,9.2,0.0,0.0,
2006-11-09,0.0,0.0,0.4,0.0,0.0,
2006-11-10,18.0,3.5,0.0,0.0,0.0,
2006-11-11,44.6,10.5,24.8,0.0,0.0,
2006-11-12,0.0,0.0,0.0,0.0,0.0,
2006-11-13,0.0,0.0,0.0,0.0,0.0,
2006-11-14,2.0,4.3,1.1,0.0,0.0,
2006-11-15,0.3,0.0,10.6,0.0,0.0,
2006-11-16,0.6,0.0,2.7,0.0,0.0,
2006-11-17,5.0,0.0,6.6,0.0,0.0,
2006-11-18,2.4,2.3,14.6,0.0,0.0,
2006-11-19,33.1,32.4,57.2,0.0,0.0,
2006-11-20,0.3,0.0,0.2,0.0,0.0,
2006-11-21,0.0,0.3,6.3,0.0,0.0,
2006-11-22,71.6,147.0,53.0,0.0,0.0,
2006-11-23,0.3,0.0,0.4,0.0,0.0,
2006-11-24,0.2,5.0,1.6,0.0,0.0,
2006-11-25,3.7,0.0,1.4,0.0,0.0,
2006-11-26,6.4,82.0,24.2,0.0,0.0,
2006-11-27,0.0,0.0,1.0,0.0,0.0,
2006-11-28,0.8,53.8,0.0,0.0,0.0,
2006-11-29,0.5,4.3,2.0,0.0,0.0,
2006-11-30,26.9,25.6,32.0,0.0,0.0,
2006-12-01,33.6,25.5,3.0,0.0,0.0,
2006-12-02,0.0,0.0,2.0,0.0,0.0,
2006-12-03,28.0,27.5,3.1,0.0,0.0,
2006-12-04,0.8,12.3,5.8,0.0,0.0,
2006-12-05,0.0,26.3,1.6,0.0,0.0,
2006-12-06,0.0,12.5,2.0,0.0,0.0,
2006-12-07,0.0,11.3,0.0,0.0,0.0,
2006-12-08,30.8,81.3,10.0,0.0,0.0,
2006-12-09,7.8,19.3,10.8,0.0,0.0,
2006-12-10,0.0,1.0,36.4,0.0,0.0,
2006-12-11,28.6,46.3,12.0,0.0,0.0,
2006-12-12,0.0,0.0,12.0,0.0,0.0,
2006-12-13,0.0,15.2,8.2,0.0,0.0,
2006-12-14,0.0,6.0,0.2,0.0,0.0,
2006-12-15,3.6,44.2,1.5,0.0,0.0,
2006-12-16,0.0,28.4,49.0,0.0,0.0,
2006-12-17,0.0,46.05,17.4,0.0,0.0,
2006-12-18,0.0,20.02,12.4,0.0,0.0,
2006-12-19,17.2,38.03,19.2,0.0,0.0,
2006-12-20,0.0,6.42,27.4,0.0,0.0,
2006-12-21,8.2,25.0,5.2,0.0,0.0,
2006-12-22,4.4,24.5,35.4,0.0,0.0,
2006-12-23,2.3,22.04,2.8,0.0,0.0,
2006-12-24,6.0,49.7,14.4,0.0,0.0,
2006-12-25,4.5,48.4,12.2,0.0,0.0,
2006-12-26,12.4,79.0,12.0,0.0,0.0,
2006-12-27,5.6,17.83,7.0,0.0,0.0,
2006-12-28,0.6,36.3,24.0,0.0,0.0,
2006-12-29,2.5,4.0,6.0,0.0,0.0,
2006-12-30,0.0,11.0,15.0,0.0,0.0,
2006-12-31,1.4,10.2,0.0,0.0,0.0,
,,,,,,1/01/2007;10;0;2.2;0;0
,,,,,,2/01/2007;1.4;0;5.6;0;0
,,,,,,3/01/2007;4.8;12.1;22;18;0
,,,,,,4/01/2007;12.4;0.3;25.6;11;0
,,,,,,5/01/2007;7.2;0;3;6;0
,,,,,,6/01/2007;13.8;4.6;5.4;2.2;0
,,,,,,7/01/2007;19.6;0;21.2;0.4;0
,,,,,,8/01/2007;19.8;25;20;25;0
,,,,,,9/01/2007;0;7.9;0.1;5.8;0
,,,,,,10/01/2007;5.6;17.7;29;9.2;0
,,,,,,11/01/2007;0;30.1;12;2.3;0
,,,,,,12/01/2007;0;13.7;5;0.3;0
,,,,,,13/01/2007;24;8.4;5;6.4;0
,,,,,,14/01/2007;0;8.4;0.3;3.6;0
,,,,,,15/01/2007;12;24.6;37.4;9.5;0
,,,,,,16/01/2007;61.1;44;44.3;1.4;0
,,,,,,17/01/2007;7.1;5.2;7;3.3;0
,,,,,,18/01/2007;24.8;9;31.3;20.2;0
,,,,,,19/01/2007;16.6;104.5;31.4;8;0
,,,,,,20/01/2007;25.6;5.4;23.3;2.1;0
,,,,,,21/01/2007;17.6;29.5;8.8;10.2;0
,,,,,,22/01/2007;1.4;11.2;0;34.2;0
,,,,,,23/01/2007;24.8;0.1;11;0.3;0
,,,,,,24/01/2007;0;5.1;0;0.3;0
,,,,,,25/01/2007;1.4;117.8;19;4.2;0
,,,,,,26/01/2007;6.4;113.5;42.3;1.2;0
,,,,,,27/01/2007;45.4;23.4;12.3;16.4;0
,,,,,,28/01/2007;3.8;95.3;13;0.2;0
,,,,,,29/01/2007;57;35.3;39;1.9;0
,,,,,,30/01/2007;1.4;5.8;8.4;16.4;0
,,,,,,31/01/2007;17.4;41.1;6;19.4;0
,,,,,,1/02/2007;15;22.8;9.4;4.1;0
,,,,,,2/02/2007;8.8;67.4;7;1.9;0
,,,,,,3/02/2007;0;0;0;10;0
,,,,,,4/02/2007;7.2;0;59;1.1;0
,,,,,,5/02/2007;18.6;0;12.6;15.4;0
,,,,,,6/02/2007;25.1;17.6;19;5.4;0
,,,,,,7/02/2007;0.6;0;2;0.2;0
,,,,,,8/02/2007;42.6;85.3;35;0;0
,,,,,,9/02/2007;2.6;62.4;11;5.1;0
,,,,,,10/02/2007;0;1.4;4;1.3;0
,,,,,,11/02/2007;0.1;2.5;6;5.2;0
,,,,,,12/02/2007;13;2;13.4;24.2;0
,,,,,,13/02/2007;1.5;8.7;1;5.8;0
,,,,,,14/02/2007;0;0.3;1;6.2;0
,,,,,,15/02/2007;3.7;19.4;6.8;11.2;0
,,,,,,16/02/2007;0;0.5;0;0;0
,,,,,,17/02/2007;0;0.2;0;0;0
,,,,,,18/02/2007;42.2;0;67;0;0
,,,,,,19/02/2007;14;0;4;5.2;0
,,,,,,20/02/2007;1.4;20.9;1;6;0
,,,,,,21/02/2007;3.4;32.7;0.6;2.8;0
,,,,,,22/02/2007;8.6;7.1;9;6.6;0
,,,,,,23/02/2007;0.4;0;0;0;0
,,,,,,24/02/2007;10.4;15.8;28.2;16;0
,,,,,,25/02/2007;0.6;0;2;12;0
,,,,,,26/02/2007;0.2;18.5;4.3;16.3;0
,,,,,,27/02/2007;1;0;0;0.2;0
,,,,,,28/02/2007;15;7.2;24;0;0
,,,,,,1/03/2007;2.2;3.5;12.4;0.9;0
,,,,,,2/03/2007;4.4;8.6;3.02;0;0
,,,,,,3/03/2007;5.2;9.3;0.4;8.2;0
,,,,,,4/03/2007;65.8;4.3;91;0;0
,,,,,,5/03/2007;22.1;6.04;6.04;0;0
,,,,,,6/03/2007;16.2;0.5;0;0;0
,,,,,,7/03/2007;39.1;2.8;26.2;43.4;0
,,,,,,8/03/2007;12;6.4;5.2;8.3;0
,,,,,,9/03/2007;12.4;3.2;5.4;13.3;0
,,,,,,10/03/2007;11.2;30.3;25.2;0;0
,,,,,,11/03/2007;4.2;24.1;31.3;3.8;0
,,,,,,12/03/2007;34.2;0;75.3;15.3;0
,,,,,,13/03/2007;30.5;4.3;13.2;2.3;0
,,,,,,14/03/2007;5.8;96.7;13.2;4.3;0
,,,,,,15/03/2007;37;43.3;14.6;14.3;0
,,,,,,16/03/2007;0.3;0;5.7;3.3;0
,,,,,,17/03/2007;19.3;92.2;32.4;1;0
,,,,,,18/03/2007;1.1;8.2;4.3;19.1;0
,,,,,,19/03/2007;5;2.8;5.5;23.2;0
,,,,,,20/03/2007;0;2.3;1.1;8.2;0
,,,,,,21/03/2007;1;0;0;4;0
,,,,,,22/03/2007;13.6;25;14.1;0.3;0
,,,,,,23/03/2007;24.2;1.8;39.2;14.1;0
,,,,,,24/03/2007;17.6;47.2;19;50;0
,,,,,,25/03/2007;0.4;4.2;2.8;4.1;0
,,,,,,26/03/2007;21.2;0;76.8;1.3;0
,,,,,,27/03/2007;9.6;6.2;36.3;0.3;0
,,,,,,28/03/2007;4.6;0;2;34.5;0
,,,,,,29/03/2007;28;4.5;10.6;2;0
,,,,,,30/03/2007;2;48;10.2;2.2;0
,,,,,,31/03/2007;0;0.1;0;3.2;0
,,,,,,1/04/2007;16.4;14.8;6.4;1.27;0
,,,,,,2/04/2007;2.3;21;5.8;4.3;0
,,,,,,3/04/2007;0;0.1;2;0.44;0
,,,,,,4/04/2007;0;23.5;5.2;3.1;0
,,,,,,5/04/2007;2;20.2;9.6;12.3;0
,,,,,,6/04/2007;6.8;17;5.2;20.1;0
,,,,,,7/04/2007;0.2;0.2;0.2;6.2;0
,,,,,,8/04/2007;0;4.4;0;0.2;0
,,,,,,9/04/2007;42.4;138.8;48.8;36;0
,,,,,,10/04/2007;1.2;0;17.6;3.8;0
,,,,,,11/04/2007;0;0;0;0.1;0
,,,,,,12/04/2007;0;21.8;2.2;0;0
,,,,,,13/04/2007;0;23.4;28;0;0
,,,,,,14/04/2007;34.2;19;37.2;12;0
,,,,,,15/04/2007;0;0;0;0.1;0
,,,,,,16/04/2007;0;0;1;0;0
,,,,,,17/04/2007;0.2;0;0;1;0
,,,,,,18/04/2007;0;9;3;13.9;0
,,,,,,19/04/2007;0;0;0;0;0
,,,,,,20/04/2007;0;0;0;0.6;0
,,,,,,21/04/2007;0;0;0;0;0
,,,,,,22/04/2007;0.8;4.4;3.8;2.8;0
,,,,,,23/04/2007;49;2.1;20.2;0;0
,,,,,,24/04/2007;1.6;0;3.5;0.8;0
