Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
253,2016,9,9,6:00A18:126,1.7,1.9,3.2,0.0,0.0
254,2016,9,10,18:00A6:126,1.7,0.1,2.3,0.4,0.6000000000000001
255,2016,9,11,6:00A18:127,1.7,1.9,23.0,0.0,0.0
256,2016,9,12,18:00A6:127,1.7,1.9,0.0,0.0,0.0
257,2016,9,13,6:00A18:128,1.7,1.9,0.0,0.0,0.0
258,2016,9,14,18:00A6:128,1.7,1.9,0.0,0.0,0.0
259,2016,9,15,6:00A18:129,7.0,13.2,0.0,0.2,0.2
260,2016,9,16,18:00A6:129,3.0,0.5,34.7,0.2,0.0
261,2016,9,17,6:00A18:130,1.7,1.9,0.0,0.0,0.0
262,2016,9,18,18:00A6:130,1.7,1.9,0.0,0.0,0.0
263,2016,9,19,6:00A18:131,1.7,17.6,0.0,18.2,2.4
264,2016,9,20,18:00A6:131,14.2,15.3,25.5,6.2,1.0
265,2016,9,21,6:00A18:132,1.7,6.1,4.0,0.0,0.0
266,2016,9,22,18:00A6:132,1.7,1.9,0.0,0.0,0.0
267,2016,9,23,6:00A18:133,1.7,0.1,0.0,0.0,0.0
268,2016,9,24,18:00A6:133,5.4,7.5,0.0,12.0,0.2
269,2016,9,25,6:00A18:134,1.7,7.5,0.0,0.0,13.2
270,2016,9,26,18:00A6:134,1.7,4.4,0.4,0.0,4.2
271,2016,9,27,6:00A18:135,1.0,0.1,24.6,3.0,1.0
272,2016,9,28,18:00A6:135,55.0,19.7,0.0,13.6,1.2
273,2016,9,29,6:00A18:136,1.7,1.9,0.0,0.0,0.0
274,2016,9,30,18:00A6:136,3.2,1.9,0.0,0.0,0.0
275,2016,10,1,6:00A18:137,2.9,3.8,6.6,6.4,0.0
276,2016,10,2,18:00A6:137,20.8,0.8,5.0,11.2,22.6
277,2016,10,3,6:00A18:138,1.1,3.8,19.0,2.8,15.8
278,2016,10,4,18:00A6:138,26.2,19.4,8.5,4.8,0.4
279,2016,10,5,6:00A18:139,2.9,0.2,2.3,6.4,0.0
280,2016,10,6,18:00A6:139,0.1,3.8,24.5,5.800000000000001,8.8
281,2016,10,7,6:00A18:140,68.2,58.4,0.0,0.0,1.8
282,2016,10,8,18:00A6:140,2.9,2.2,0.0,0.0,0.0
283,2016,10,9,6:00A18:141,2.9,0.4,0.0,3.0,6.4
284,2016,10,10,18:00A6:141,16.0,0.4,6.2,6.4,3.4
285,2016,10,11,6:00A18:142,0.4,3.8,4.6,0.0,1.2
286,2016,10,12,18:00A6:142,2.9,0.4,2.6,3.2,2.2
287,2016,10,13,6:00A18:143,2.9,0.4,0.0,0.0,0.0
288,2016,10,14,18:00A6:143,9.8,13.0,4.1,9.2,0.2
289,2016,10,15,6:00A18:144,1.8,2.3,1.0,0.0,0.0
290,2016,10,16,18:00A6:144,2.9,0.2,0.0,0.0,0.0
291,2016,10,17,6:00A18:145,2.9,0.2,0.0,1.2,0.2
292,2016,10,18,18:00A6:145,8.3,3.8,0.0,2.2,2.0
293,2016,10,19,6:00A18:146,2.9,3.8,0.0,2.2,0.0
294,2016,10,20,18:00A6:146,2.9,3.8,0.0,16.0,6.0
295,2016,10,21,6:00A18:147,2.9,26.2,0.0,0.0,0.0
296,2016,10,22,18:00A6:147,6.9,37.7,0.0,22.0,4.6
297,2016,10,23,6:00A18:148,2.9,12.3,0.0,0.0,0.0
298,2016,10,24,18:00A6:148,2.9,3.8,0.0,0.0,0.0
299,2016,10,25,6:00A18:149,2.9,0.6000000000000001,0.0,6.1,0.0
300,2016,10,26,18:00A6:149,2.9,3.8,0.0,0.0,0.4
301,2016,10,27,6:00A18:150,4.800000000000001,18.5,0.0,0.8,11.4
302,2016,10,28,18:00A6:150,17.6,19.5,0.0,18.6,4.0
303,2016,10,29,6:00A18:151,2.9,3.8,0.0,2.2,1.5
304,2016,10,30,18:00A6:151,2.9,3.8,0.0,0.0,0.0
305,2016,10,31,6:00A18:152,2.9,3.8,0.0,0.6,0.0
306,2016,11,1,18:00A6:152,1.2,3.0,0.0,0.0,0.0
